Model,Params,Data,Test F1,Train F1,Test Accuracy,Train Accuracy,Test Loss,Train Loss,Lambda1,Lambda2,Max Iter,Gamma,Batch Size,Plotting,Log,Polynomial,Data Split Y,Data Split X,Threshold
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 5, (3, 3)]",train_raw.npy,0.42599006,0.5721704,0.88297791,0.81469663,0.29411464,0.39228691,1.0,1.0,1000,0.05,1028,False,False,5,3,3,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 5, (1, 2)]",train_raw.npy,0.36413089,0.78287629,0.75350659,0.77704195,0.49019793,0.47202702,1.0,1.0,1000,0.05,1028,False,False,5,1,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 5, (2, 2)]",train_raw.npy,0.41228633,0.67175894,0.83869321,0.78917038,0.36018596,0.43739339,1.0,1.0,1000,0.05,1028,False,False,5,2,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 5, (3, 2)]",train_raw.npy,0.42301675,0.58582582,0.87416288,0.81328011,0.30717396,0.39533404,1.0,1.0,1000,0.05,1028,False,False,5,3,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 5, (2, 3)]",train_raw.npy,0.41574509,0.66909707,0.84273502,0.78891343,0.35478814,0.43751622,1.0,1.0,1000,0.05,1028,False,False,5,2,3,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 1, (4, 2)]",train_raw.npy,0.39671655,0.48383969,0.89761758,0.83539533,0.26428835,0.35712047,1.0,0.1,1000,0.05,1028,False,False,1,4,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 1, (3, 3)]",train_raw.npy,0.41514697,0.56336589,0.87968275,0.81084484,0.29072361,0.39536484,1.0,0.1,1000,0.05,1028,False,False,1,3,3,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 1, (1, 2)]",train_raw.npy,0.36394212,0.78185749,0.75386467,0.77620909,0.48463755,0.47087427,1.0,0.1,1000,0.05,1028,False,False,1,1,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 1, (2, 2)]",train_raw.npy,0.40974503,0.66125792,0.84207218,0.78547505,0.34606927,0.43997213,1.0,0.1,1000,0.05,1028,False,False,1,2,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 1, (3, 2)]",train_raw.npy,0.41552129,0.56551241,0.8788942,0.81109035,0.29143234,0.39555746,1.0,0.1,1000,0.05,1028,False,False,1,3,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 1, (2, 3)]",train_raw.npy,0.41130986,0.65886222,0.84443784,0.78522545,0.34296277,0.44006074,1.0,0.1,1000,0.05,1028,False,False,1,2,3,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 3, (4, 2)]",train_raw.npy,0.41345375,0.50905399,0.8973433,0.83931645,0.26234469,0.35016567,1.0,0.1,1000,0.05,1028,False,False,3,4,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 3, (3, 3)]",train_raw.npy,0.42786485,0.57841158,0.88269601,0.81639379,0.2875923,0.38728338,1.0,0.1,1000,0.05,1028,False,False,3,3,3,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 3, (1, 2)]",train_raw.npy,0.36728697,0.78595903,0.75717507,0.78067069,0.48514248,0.4647902,1.0,0.1,1000,0.05,1028,False,False,3,1,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 3, (2, 2)]",train_raw.npy,0.41749761,0.66791118,0.84643018,0.79007336,0.34562614,0.43303478,1.0,0.1,1000,0.05,1028,False,False,3,2,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 3, (3, 2)]",train_raw.npy,0.42539437,0.58044881,0.88047511,0.81614726,0.29266345,0.38917202,1.0,0.1,1000,0.05,1028,False,False,3,3,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 3, (2, 3)]",train_raw.npy,0.42060963,0.66713289,0.84916535,0.79101902,0.3400745,0.43116748,1.0,0.1,1000,0.05,1028,False,False,3,2,3,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 5, (4, 2)]",train_raw.npy,0.40929961,0.51004755,0.8955262,0.83882186,0.26933262,0.35337518,1.0,0.1,1000,0.05,1028,False,False,5,4,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 5, (3, 3)]",train_raw.npy,0.42726619,0.58091484,0.88075701,0.81564659,0.29527168,0.39022848,1.0,0.1,1000,0.05,1028,False,False,5,3,3,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 5, (1, 2)]",train_raw.npy,0.36217675,0.78318831,0.75203233,0.77738466,0.494246,0.46972531,1.0,0.1,1000,0.05,1028,False,False,5,1,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 5, (2, 2)]",train_raw.npy,0.41206406,0.67362882,0.83725324,0.78924811,0.36458363,0.43769554,1.0,0.1,1000,0.05,1028,False,False,5,2,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 5, (3, 2)]",train_raw.npy,0.42533089,0.58250458,0.87913419,0.81579723,0.29932873,0.39158996,1.0,0.1,1000,0.05,1028,False,False,5,3,2,
Logistic Regression with both regularization,"[1.0, 0.1, 1000, 0.05, 1028, False, False, 5, (2, 3)]",train_raw.npy,0.41341021,0.67181391,0.84126077,0.78989805,0.35658044,0.4366726,1.0,0.1,1000,0.05,1028,False,False,5,2,3,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 1, (4, 2)]",train_raw.npy,0.396676,0.48536485,0.89716045,0.83522737,0.26447702,0.35742031,1.0,0.0,1000,0.05,1028,False,False,1,4,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 1, (3, 3)]",train_raw.npy,0.41541808,0.56394448,0.87961037,0.81092106,0.29068133,0.39525627,1.0,0.0,1000,0.05,1028,False,False,1,3,3,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 1, (1, 2)]",train_raw.npy,0.36406139,0.78165735,0.75403229,0.77607873,0.48457457,0.47076381,1.0,0.0,1000,0.05,1028,False,False,1,1,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 1, (2, 2)]",train_raw.npy,0.40980642,0.66101348,0.84190076,0.78524844,0.34590367,0.4400382,1.0,0.0,1000,0.05,1028,False,False,1,2,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 1, (3, 2)]",train_raw.npy,0.41548406,0.56609458,0.87882182,0.81122849,0.29139781,0.39544059,1.0,0.0,1000,0.05,1028,False,False,1,3,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 1, (2, 3)]",train_raw.npy,0.41153483,0.65935662,0.84445308,0.78551882,0.34290283,0.43995497,1.0,0.0,1000,0.05,1028,False,False,1,2,3,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 3, (4, 2)]",train_raw.npy,0.41510123,0.51087863,0.89741568,0.83965309,0.26171795,0.34942759,1.0,0.0,1000,0.05,1028,False,False,3,4,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 3, (3, 3)]",train_raw.npy,0.42687985,0.57999131,0.88144271,0.8160477,0.29066297,0.3888485,1.0,0.0,1000,0.05,1028,False,False,3,3,3,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 3, (1, 2)]",train_raw.npy,0.36694623,0.78570983,0.75696556,0.78044113,0.48474546,0.46594387,1.0,0.0,1000,0.05,1028,False,False,3,1,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 3, (2, 2)]",train_raw.npy,0.41421023,0.6700452,0.84193885,0.78973592,0.35487995,0.43602643,1.0,0.0,1000,0.05,1028,False,False,3,2,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 3, (3, 2)]",train_raw.npy,0.42703773,0.58282651,0.88033797,0.81631042,0.29170276,0.38830682,1.0,0.0,1000,0.05,1028,False,False,3,3,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 3, (2, 3)]",train_raw.npy,0.41870591,0.6671041,0.84824728,0.7907055,0.34110826,0.43203589,1.0,0.0,1000,0.05,1028,False,False,3,2,3,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 5, (4, 2)]",train_raw.npy,0.41146231,0.51056806,0.89557953,0.83834364,0.27201655,0.35447401,1.0,0.0,1000,0.05,1028,False,False,5,4,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 5, (3, 3)]",train_raw.npy,0.42432584,0.58238749,0.87754566,0.81454545,0.29928865,0.39222223,1.0,0.0,1000,0.05,1028,False,False,5,3,3,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 5, (1, 2)]",train_raw.npy,0.36373362,0.78426534,0.75396753,0.77875364,0.49166712,0.46689525,1.0,0.0,1000,0.05,1028,False,False,5,1,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 5, (2, 2)]",train_raw.npy,0.4121656,0.67294215,0.83874654,0.78962774,0.36441989,0.43792528,1.0,0.0,1000,0.05,1028,False,False,5,2,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 5, (3, 2)]",train_raw.npy,0.42463805,0.58700687,0.87697043,0.81565468,0.30178501,0.39189225,1.0,0.0,1000,0.05,1028,False,False,5,3,2,
Logistic Regression with both regularization,"[1.0, 0.0, 1000, 0.05, 1028, False, False, 5, (2, 3)]",train_raw.npy,0.41238878,0.67244996,0.8380837,0.78856463,0.36475398,0.43945346,1.0,0.0,1000,0.05,1028,False,False,5,2,3,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 1, (4, 2)]",train_raw.npy,0.37830928,0.44952413,0.90109178,0.83235727,0.26728757,0.36299178,0.1,5.0,1000,0.05,1028,False,False,1,4,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 1, (3, 3)]",train_raw.npy,0.40959765,0.54443374,0.88381599,0.80822796,0.29403988,0.40079378,0.1,5.0,1000,0.05,1028,False,False,1,3,3,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 1, (1, 2)]",train_raw.npy,0.35865006,0.7827695,0.74447822,0.77454939,0.49416232,0.47696875,0.1,5.0,1000,0.05,1028,False,False,1,1,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 1, (2, 2)]",train_raw.npy,0.40880241,0.65651052,0.84222837,0.78289315,0.35120914,0.44671027,0.1,5.0,1000,0.05,1028,False,False,1,2,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 1, (3, 2)]",train_raw.npy,0.40904202,0.54682121,0.88306172,0.80867482,0.29466885,0.40103168,0.1,5.0,1000,0.05,1028,False,False,1,3,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 1, (2, 3)]",train_raw.npy,0.41053032,0.65300936,0.84517687,0.78266734,0.34847412,0.44561836,0.1,5.0,1000,0.05,1028,False,False,1,2,3,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 3, (4, 2)]",train_raw.npy,0.39390147,0.46988382,0.90147654,0.83586107,0.26368652,0.35719762,0.1,5.0,1000,0.05,1028,False,False,3,4,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 3, (3, 3)]",train_raw.npy,0.41897312,0.55403439,0.88629974,0.81217026,0.29057809,0.39531765,0.1,5.0,1000,0.05,1028,False,False,3,3,3,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 3, (1, 2)]",train_raw.npy,0.36041561,0.78468428,0.7461658,0.77696621,0.49598635,0.47419776,0.1,5.0,1000,0.05,1028,False,False,3,1,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 3, (2, 2)]",train_raw.npy,0.41693932,0.65787472,0.84860156,0.78608149,0.34798318,0.44183354,0.1,5.0,1000,0.05,1028,False,False,3,2,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 3, (3, 2)]",train_raw.npy,0.41763955,0.55028435,0.88769781,0.81195318,0.2901611,0.3963543,0.1,5.0,1000,0.05,1028,False,False,3,3,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 3, (2, 3)]",train_raw.npy,0.41822527,0.6608177,0.84748158,0.78714205,0.34689168,0.43929722,0.1,5.0,1000,0.05,1028,False,False,3,2,3,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 5, (4, 2)]",train_raw.npy,0.39106505,0.46782511,0.90162892,0.83575398,0.26731548,0.35934589,0.1,5.0,1000,0.05,1028,False,False,5,4,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 5, (3, 3)]",train_raw.npy,0.41853056,0.55437918,0.88593404,0.81181158,0.29393016,0.39725073,0.1,5.0,1000,0.05,1028,False,False,5,3,3,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 5, (1, 2)]",train_raw.npy,0.3563445,0.78157042,0.74248589,0.77374844,0.50169004,0.47856619,0.1,5.0,1000,0.05,1028,False,False,5,1,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 5, (2, 2)]",train_raw.npy,0.41309735,0.66296474,0.84292169,0.78639245,0.35912605,0.4435934,0.1,5.0,1000,0.05,1028,False,False,5,2,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 5, (3, 2)]",train_raw.npy,0.41678775,0.54951576,0.88705782,0.8115892,0.29627882,0.39904521,0.1,5.0,1000,0.05,1028,False,False,5,3,2,
Logistic Regression with both regularization,"[0.1, 5.0, 1000, 0.05, 1028, False, False, 5, (2, 3)]",train_raw.npy,0.41396099,0.65930329,0.84558829,0.78551639,0.35844588,0.44524688,0.1,5.0,1000,0.05,1028,False,False,5,2,3,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 1, (4, 2)]",train_raw.npy,0.39427966,0.47726812,0.89818899,0.83452403,0.26299092,0.35795605,0.1,1.0,1000,0.05,1028,False,False,1,4,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 1, (3, 3)]",train_raw.npy,0.41429018,0.55835759,0.88088653,0.81003804,0.28922554,0.3961315,0.1,1.0,1000,0.05,1028,False,False,1,3,3,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 1, (1, 2)]",train_raw.npy,0.36344104,0.78228646,0.75221138,0.77623194,0.48548559,0.47137043,0.1,1.0,1000,0.05,1028,False,False,1,1,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 1, (2, 2)]",train_raw.npy,0.40964806,0.65899119,0.84271217,0.78426464,0.34460493,0.4423842,0.1,1.0,1000,0.05,1028,False,False,1,2,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 1, (3, 2)]",train_raw.npy,0.41506329,0.56030659,0.88050559,0.81038377,0.28989465,0.39632567,0.1,1.0,1000,0.05,1028,False,False,1,3,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 1, (2, 3)]",train_raw.npy,0.41150474,0.65650373,0.8452302,0.78433474,0.34198603,0.44100453,0.1,1.0,1000,0.05,1028,False,False,1,2,3,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 3, (4, 2)]",train_raw.npy,0.41154252,0.50294735,0.89833375,0.83842422,0.2606883,0.35136719,0.1,1.0,1000,0.05,1028,False,False,3,4,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 3, (3, 3)]",train_raw.npy,0.42825511,0.57266817,0.88446359,0.81559323,0.28589486,0.38862833,0.1,1.0,1000,0.05,1028,False,False,3,3,3,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 3, (1, 2)]",train_raw.npy,0.36514514,0.78533119,0.75384182,0.77953678,0.48595537,0.46822428,0.1,1.0,1000,0.05,1028,False,False,3,1,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 3, (2, 2)]",train_raw.npy,0.41791387,0.66420591,0.84759967,0.78887431,0.34380835,0.43494296,0.1,1.0,1000,0.05,1028,False,False,3,2,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 3, (3, 2)]",train_raw.npy,0.42515031,0.56913932,0.88424646,0.81457889,0.2881143,0.39073953,0.1,1.0,1000,0.05,1028,False,False,3,3,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 3, (2, 3)]",train_raw.npy,0.41983817,0.66679528,0.84716159,0.7898004,0.34277629,0.43390671,0.1,1.0,1000,0.05,1028,False,False,3,2,3,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 5, (4, 2)]",train_raw.npy,0.4047889,0.49374007,0.89912612,0.83782289,0.26651549,0.35500469,0.1,1.0,1000,0.05,1028,False,False,5,4,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 5, (3, 3)]",train_raw.npy,0.42338017,0.58026984,0.87815136,0.8139579,0.29985001,0.39361933,0.1,1.0,1000,0.05,1028,False,False,5,3,3,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 5, (1, 2)]",train_raw.npy,0.36172898,0.7822164,0.75073332,0.77585621,0.49139931,0.47387267,0.1,1.0,1000,0.05,1028,False,False,5,1,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 5, (2, 2)]",train_raw.npy,0.41098236,0.67274621,0.83621708,0.78807065,0.36854401,0.4413358,0.1,1.0,1000,0.05,1028,False,False,5,2,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 5, (3, 2)]",train_raw.npy,0.42061812,0.57612112,0.87956466,0.81432894,0.30012265,0.39443164,0.1,1.0,1000,0.05,1028,False,False,5,3,2,
Logistic Regression with both regularization,"[0.1, 1.0, 1000, 0.05, 1028, False, False, 5, (2, 3)]",train_raw.npy,0.41681904,0.66701948,0.84456355,0.78906094,0.35134446,0.43644106,0.1,1.0,1000,0.05,1028,False,False,5,2,3,
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 1, (4, 2)]",train_raw.npy,0.39667911,0.48526502,0.8973014,0.83537848,0.26243837,0.35657929,0.1,0.1,1000,0.05,1028,False,False,1,4,2,
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 1, (3, 3)]",train_raw.npy,0.4149839,0.56289993,0.88013607,0.81101548,0.288523,0.39495521,0.1,0.1,1000,0.05,1028,False,False,1,3,3,
