Model,Params,Data,Test F1,Train F1,Test Accuracy,Train Accuracy,Test Loss,Train Loss
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.42768277884918526,0.5799245436079653,0.8808217716928376,0.8155004903228603,0.2879292096601888,0.3871583502749379
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.42902682461661423,0.5835453185077949,0.8797017972922524,0.8157186312005188,0.28890221412582423,0.38726734163797616
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.4273034190337335,0.5890306371104267,0.8759952153474586,0.8150073285897571,0.2956556802120341,0.38875715397665633
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.4276998478896032,0.579076013520857,0.8809093887377814,0.8155572040456768,0.2888772025182973,0.3877278981116281
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.42776866518982404,0.5868641687335452,0.8772370917236177,0.8150525071727349,0.2986579221177454,0.38984100771791913
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.42627694311220427,0.5843161898592898,0.8783151623200993,0.8153875682991986,0.29301149299433127,0.3881930688333486
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.4280133663791362,0.5963823278761097,0.8729400470846381,0.8156773130942329,0.30546045945610717,0.3908491151769569
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.42733656376015433,0.5836651214908755,0.8787799136019748,0.815210410375686,0.30204431438894147,0.39181479500925415
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.4262907966150304,0.5991246286578337,0.8704791509527401,0.8155229313841398,0.31394285058991606,0.39367472220738176
Logistic Regression with both regularization,"[0.5, 0.1, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.42685023317419163,0.5855178123115962,0.877099952001097,0.8148245418636422,0.3007311000796992,0.3916556715164774
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.42768413575828546,0.577235682217326,0.8817017515790115,0.8151376038533265,0.28755830635716745,0.3878540040591421
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.4287242287879527,0.583856948416308,0.8801817863210747,0.8161498487557157,0.2864220310097013,0.38610943480285326
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.42739934928363943,0.589488972560598,0.8762237815516598,0.8157441758718927,0.29817959116127296,0.38853871914452176
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.4255690472396507,0.581224671471236,0.880128454206761,0.8157466021012528,0.28881985647454167,0.38754424900538903
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.4287762476275452,0.5864036167442257,0.8785361096508271,0.8157605507672506,0.29344266062178775,0.388109873655146
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.4286283054478009,0.5916974461657759,0.8754085620900094,0.8155839041453096,0.3000235756945948,0.3903227167916148
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.42592257070482603,0.5897536645902756,0.8751457109551781,0.8151542859657933,0.30509485951182874,0.3923510673782192
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.4271352965131166,0.5896284398234624,0.8753704677226425,0.8152868610066495,0.3018109590226046,0.3910105807856825
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.4277472116794369,0.6001863675704366,0.868829664845756,0.8143030121223934,0.31701934803231996,0.39499549725036087
Logistic Regression with both regularization,"[0.5, 0.05, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.4261145836617337,0.596034960529818,0.8715953159165886,0.8149715045615106,0.30971698954910853,0.392869368906779
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.4259053722562413,0.5807002325744219,0.8796941784187791,0.8151661986203708,0.28825636312443526,0.3876692036602705
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.4295517988671443,0.5811716508987544,0.8816408005912245,0.8163167224283668,0.2855486847964395,0.3863570870462035
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.4285784118932299,0.5893645875423923,0.8775227994788691,0.8160528721647067,0.29298077687030416,0.38754823135756616
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.42697236709708625,0.5799466333792674,0.8812370002971361,0.8159780296742655,0.2895698848103,0.3877539150465062
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.4278470878989937,0.5926196957651211,0.874760957844773,0.8157868654190947,0.3022292255406371,0.3895922496402444
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.42650523867696705,0.5919946522780529,0.8745019161466786,0.8151605841388521,0.2974481979795236,0.3887014627237138
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.4256009695182781,0.6002110873716907,0.8682544398985166,0.8141727687892725,0.3119255099748604,0.3924418222505374
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.42710197951457723,0.5963240039893702,0.8722162541046682,0.814906134815923,0.3056904533884015,0.39127546281754205
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.42527111076110763,0.5847228243823533,0.8774999428584489,0.8150133473767983,0.3027771946202351,0.3914760105381765
Logistic Regression with both regularization,"[0.5, 0.01, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.4262994433039918,0.5875270124413574,0.8767037705804821,0.8152894402903391,0.3045646059984308,0.3933558199153712
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.42651936254221384,0.5766833436272488,0.8815646118564909,0.8150794910970921,0.28768156753220714,0.38836753492184856
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.42893547880817645,0.5770030661987153,0.882661729636656,0.8156292066753544,0.28340445121504315,0.3867211748471681
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.42699818742212653,0.5875956273035513,0.8769247179112097,0.8156362267422304,0.297187559711043,0.3888856166114794
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.4271379151014248,0.5780402762244184,0.8818274629913221,0.8157221311428363,0.28709426614311373,0.38777046525734055
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.4285469361628576,0.5832381378476426,0.8787951513489215,0.8150738844572215,0.2970503726930092,0.3906455889312115
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.42754683127652715,0.583039646519922,0.8795532292595217,0.8155922881344485,0.29374828103573286,0.38952514821002276
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.4270148936332669,0.5864365897476898,0.8775570844094993,0.8156356956431957,0.3003560438724305,0.3917280772427118
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.4274416406393051,0.5893052709388331,0.8759990247841954,0.8154121923531025,0.30010573744317814,0.3909085855886563
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.42874134709415995,0.5942590707066832,0.8735267003420873,0.8152387140130476,0.308047209378929,0.3922943789001128
Logistic Regression with both regularization,"[0.1, 0.5, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.4264496992834583,0.583724872237374,0.8782504018955756,0.8150267077249334,0.2990329166667963,0.39116588658380264
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.42703827778586234,0.5776058037488895,0.8812827135379763,0.8147399090165206,0.28545321737606844,0.38777736782180616
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.4300033779840932,0.5814321142478539,0.8810122435296717,0.8158594827386606,0.28528193589457757,0.3865899068046601
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.42786726093321265,0.5861345922562762,0.8787875324754482,0.8159870575965672,0.2926502807637726,0.38814486228462813
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.4266506380720212,0.5810842110094585,0.8802579750558083,0.8154538874874996,0.2904028056175951,0.3880582166637557
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.42558577007744147,0.5837275575899143,0.8782389735853656,0.8150381702880051,0.2956197479333876,0.3891996058144804
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.42850797425765985,0.5842934716083713,0.8793894234798443,0.8159267182789888,0.2921024663495409,0.3880815822458539
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.42729811649917804,0.5883174940147853,0.8758542661882013,0.8151683258436019,0.30068547985833377,0.39063428600208017
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.42717311536928243,0.5826525682038232,0.8791608572756432,0.8151067821229884,0.29579939611214034,0.38966598946742187
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.42593364123604777,0.5972085652450682,0.8707724775814647,0.8150996391874221,0.3111217861928343,0.39260677775279723
Logistic Regression with both regularization,"[0.1, 0.1, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.4244610812320422,0.5834063837994833,0.876703770580482,0.8143172093584979,0.30117713001773994,0.3918388490944286
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.4286721580753233,0.5806995423797652,0.8808674849336776,0.8157866572565354,0.28695332931950096,0.3870786308066065
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.42855833762628953,0.5804984923874492,0.8812979512849229,0.815981188002815,0.2848244057613114,0.3861294749325703
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.4275994927920383,0.5891419340115318,0.876486632686491,0.815782133317971,0.2974763535742875,0.38837766946402336
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.42547442616566683,0.5791195273884845,0.8810693850807221,0.8157692496595094,0.28622658698636066,0.38680616233542864
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.42802957211805753,0.5868043337101997,0.8778313638545404,0.8155779256874975,0.2970094258764861,0.3897388159954356
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.4269223075556307,0.5836474270794816,0.8789437193816522,0.8155826982005298,0.29344887677860615,0.3882396541809611
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.4263410221042642,0.5949818902512405,0.8718467387412097,0.8145543683408812,0.30786773480320356,0.3924763410514292
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.4270782662667251,0.5851857388508607,0.8784408737324099,0.8154907853072945,0.2981755461246725,0.3901720606172871
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.4269072437750296,0.5971993387354709,0.8722353012883516,0.8156173706981731,0.3066894414987147,0.3913111519272708
Logistic Regression with both regularization,"[0.1, 0.05, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.4266229212538928,0.5878904518735996,0.8768942424173162,0.81525473813457,0.30019976070367466,0.3906521466756463
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.42507626813567895,0.5788324065424967,0.8809970057827251,0.8155058241793504,0.28651326256505516,0.3873081141615325
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.42823902820782833,0.5808218171812481,0.8805398733743228,0.8156260527526212,0.2850024949962098,0.38647120325511963
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.4272685662089322,0.5894481646444771,0.8763113985966035,0.81584980250613,0.29752060563386645,0.38834001047991046
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.4258095504187793,0.5808890994256851,0.880307497733385,0.8157269141160937,0.28801806720528583,0.38737246729895597
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.4284148266650775,0.5858897552080102,0.8786313455692442,0.8157016762959491,0.29276279767134306,0.38792424873000564
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.4285819971541231,0.5916480427034768,0.8755076074451632,0.8156554356282911,0.2993921611821125,0.39012689767264885
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.42567659097085137,0.5894064853882676,0.8752447563103319,0.8151219865297037,0.30454446380273636,0.39212605978218146
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.42590587695240684,0.585396934953711,0.8775151806053957,0.8152218688247727,0.2985037920535081,0.39021827841768525
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.42533818392481776,0.5980557481339918,0.8702620130587491,0.814981302324545,0.3125821049312399,0.39297606037798216
Logistic Regression with both regularization,"[0.1, 0.01, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.4261501872850177,0.5934609750760165,0.8726924336967535,0.8145125865032483,0.30671007160586294,0.39203720228629085
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.42607557878618474,0.5762670043453745,0.8821017424363634,0.8155584944927834,0.28521289414839757,0.38754034373067464
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.42661326559833385,0.573489042381357,0.8838121795311346,0.8157711452699209,0.2826972251060739,0.3871135251647598
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.4277070625004964,0.5827781315785007,0.8793094253083739,0.8155201055787047,0.29060103427280964,0.38812251405155135
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.42810677544585074,0.5793784316890549,0.8809551019786216,0.8155168726833569,0.28957277849452584,0.3882362531699957
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.427910099900064,0.5895825227746357,0.8761323550699793,0.8155372330190677,0.2998832104725793,0.38985166041681785
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.4254780579137167,0.583342770704811,0.8779151714627474,0.815183499475746,0.2916694253021597,0.38853000440472457
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.4242396378014845,0.5865587634351799,0.8761514022536628,0.8150699258287308,0.30323520927707,0.3927147245931118
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.4278150206089562,0.5879555087347724,0.8763418740904969,0.8150148236106735,0.30023440584728645,0.39074228103929826
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.42556601655425813,0.5934555114961676,0.8733133718848332,0.8149299639408718,0.3083997677463544,0.3930146130302985
Logistic Regression with both regularization,"[0.05, 0.5, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.42535291244179557,0.5850810832304231,0.8765399648008044,0.8144649235727841,0.3048710703814777,0.39355985137942895
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.42696722491610545,0.5821856845789514,0.8792751403777438,0.8149716844690419,0.28967050253660565,0.38746338171932937
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.4276821627279739,0.5836202587978824,0.8793056158716372,0.8158131769406577,0.28697040956613346,0.38635653074746035
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.42835809829819044,0.5865569774213527,0.8784027793650431,0.8162241417373114,0.29363762215157346,0.38762788464309034
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.4293168896799385,0.5912580316789486,0.8770351915765735,0.8164197703360468,0.293262371414066,0.38750175229146694
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.42776144240127345,0.5921482488903487,0.8744866783997317,0.8148791881636533,0.30115163766744063,0.39034871454919234
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.42633451392286803,0.5774277356187829,0.8815684212932275,0.8152744164109788,0.28696930077121224,0.3876104698584326
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.42639068290116494,0.5887411658107203,0.8758504567514648,0.8152350621740041,0.302593347861783,0.391340357855527
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.4268662754410189,0.586559298016441,0.8768218631193192,0.8151444440115805,0.2990386196772738,0.39055162813904293
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.4268009793711481,0.5963780860419784,0.8717781688799494,0.8149134537997066,0.30995444877470485,0.3926649932554484
Logistic Regression with both regularization,"[0.05, 0.1, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.42544857189965907,0.5843966564939008,0.8782275452751556,0.8154225996978877,0.30092102021091277,0.3921748836445647
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.4269485871396184,0.5823363375032398,0.8791837138960633,0.8149771817266975,0.28970991045393507,0.3874102886065948
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.42661565523191375,0.5805949713584689,0.8803989242150655,0.8157251312797541,0.28504119887229823,0.38633265466707933
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.42789655757954076,0.5850285430873733,0.8782770679527325,0.8154342418226909,0.2925162539407127,0.38790598137400584
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.4274081332826598,0.5828318577306122,0.8798389370147731,0.8159836469778797,0.2898631248809029,0.38755682087046184
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.42708421466977287,0.5924517694243738,0.8744562029058384,0.8152274535692111,0.3027579105464749,0.39059377104552523
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.42758845913763904,0.5849660396890545,0.8788980061408119,0.8161749881951028,0.2924125613239646,0.38794276048595505
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.427563116458368,0.594951997585457,0.8731495661051557,0.8153211153861198,0.30465346004656846,0.39043673148635977
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.42822455153885414,0.595399459310275,0.8739609761300695,0.8158792112480272,0.3015743483251801,0.3897399634650032
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.42784206091415894,0.5885057559885724,0.8764142533884939,0.8153223295281604,0.3018438838194526,0.3910014204260399
Logistic Regression with both regularization,"[0.05, 0.05, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.42655119712419065,0.5893854900487101,0.8757361736493642,0.8152512200736367,0.3038642754385804,0.3919626811948074
Logistic Regression with both regularization,"[0.05, 0.01, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.4267683296013289,0.582439931162546,0.8798922691290866,0.8161742185591607,0.28735857845365204,0.3872824138498509
Logistic Regression with both regularization,"[0.05, 0.01, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.4288430537855506,0.5823247235420951,0.8809131981745179,0.8161824901825369,0.2866808763201264,0.38657079687041235
Logistic Regression with both regularization,"[0.05, 0.01, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.4268424904406091,0.5840283440017542,0.8790160986796492,0.8155800447761593,0.2936674129864936,0.3887412568931729
Logistic Regression with both regularization,"[0.05, 0.01, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.427088140518735,0.5801195188764098,0.8811836681828225,0.8159438748751314,0.2861370455055237,0.38665074173098124
Logistic Regression with both regularization,"[0.05, 0.01, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.4281730026906163,0.5915115999245435,0.8753552299756958,0.8157226827779981,0.30039562115373203,0.38922132473675175
Logistic Regression with both regularization,"[0.05, 0.01, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.4282729549272859,0.5806614681593808,0.8811303360685089,0.8163180329201571,0.29188891054250427,0.3883601752206296
Logistic Regression with both regularization,"[0.05, 0.01, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.42650060745319535,0.5909298247849799,0.8747761955917198,0.8154827547939746,0.3032169488759043,0.39062361247268146
